energy_grid| Energy Grid| Parrilla de energia| Grille d'énergie| Energie-Raster
emin| Emin| Emin| Emin| E-min
emax| Emax| Emax| Emax| E-max
estep| Estep| Estep| Estep| E-Schritt
run_dafs| Run DAFS| Correr DAFS| Exécuter DAFS| Starte DAFS
clear_dafs| Clear DAFS| Borrar DAFS| Effacer DAFS| Lösche DAFS
save_dafs_data| Save DAFS Data| Grabar los datos de DAFS| Sauver les données de DAFS| Speichere DAFS Daten
save_dafs_ps| Save Postscript| Grabar Postscript| Sauver Postscript| Speichere Postscript
overplot| Overplot data with Ifeffit| Sobre-dibujar los datos con Ifeffit| Redessiner les données avec Ifeffit| Überschreibe Daten
newplot| Plot data with Ifeffit| Dibujar los datos con Ifeffit| Dessiner les données avec Ifeffit| Graph in neuem Fenster
intensity_axis| Int.| Int.| Int.| Int.
energy_axis| Energy (eV)| Energia (eV)| Energie (eV)| Energie (eV)
clear_molecule| Clear molecule data| Borrar datos moléculares| Effacer les données moléculaires| Lösche Moleküldaten
skip| Skip| Saltar| Retirer| Überspringen
load_data| Open data file| Abrir fichero| Ouvre un fichier| Lese Datei
pref_menu| Preferences| Preferencias| Préférences| Voreinstellungen
pref_var| Configure variables| Configure variables| Configuration des variables| Variablendeklaration
pref_col| Configure colors| Configure colores| Configuration des couleurs| Farbeinstellungen
pref_fon| Configure fonts| Configure fundicónes| Configuration de la police| Konfiguriere Schriftart
molecule_description| Molecule: Generate FEFF input files from molecule data| Molecule: Creer un fichero de entrar usando datos moléculares| Molecule: Génère un fichier pour FEFF avec des données moléculaires| Molekül: Erstelle FEFF Eingabedatei aus Moleküldaten
skip_rules| Select skip rules| Selecionar reglas de saltar| Choisissez les règles de sélection.| Auswahlregeln für das Überspringen
unselect_skip| Unselect all skip sites| Desaltarse todos los sitios saltados| Désélectionner tous les sites enlevés| Markierung aller übersrungenen Atomlagenrückgängig machen
run_molecule| Run Molecule| Correr Molecule| Exécuter Molecule| Starte Molecule
explain_skip| Set rules for skipping entire catagories of sites| Hacer reglas para saltar categorios enteros de sitios| Faire des règles pour retirer des cateégories de sites| Regeln zur Auslassung der Atomlagen definieren
skip_sites| Skip all sites with| Saltar todos los sitios con| Enlève tous les sites avec| Überspringe folgende kristallographische Plätze
skip_elements| elements| elementos| des éléments| Elemente
skip_tags| tags| tags| des labels| Bezeichnung
skip_re| (regular expression)| (expression regular)| (expression régulière)| (regulärer Ausdruck)
skip_numeric| (numeric value)| (un número)| (un nombre)| (numerischer Wert)
apply| Apply| Applicar| Appliquer| Anwenden
mol_format| Molecule: Data File Format| Molecule: Formato del Fichero de Entrada| Molecule: Style de Fichier des Données| Molekül: Datenformat
mol_format_explain| Choose the input file format| Seleccioner el formato del fichero de entrada| Choisissez le style du fichier qui contient les données| Dateiformat
mol_skip_rules| Molecule: Skip Rules| Molecule: Reglas de Saltar| Molecule: Règles de Sélection| Molekül: Auswahlregeln für das Überspringen
skip_matching| matching| matching| assortir| Übereinstimmung
site_table| Sites Table| Sites Table| Table des sites| Kristallstrukturtabelle
site_aux_file| Auxilliary File| Auxilliary File| Fichier auxiliaire| Hilfsdatei
write_template_6| Write FEFF6 template| Write FEFF6 template| Write FEFF6 template| Schreibe FEFF6 Datei
write_template_8| Write FEFF8 template| Write FEFF8 template| Write FEFF8 template| Schreibe FEFF8 Datei
yes| Yes| Sí| Oui| Yes
no| No| No| Non| Nein
save_data| Save?| ¿Grabar?| Sauver?| Save?
save_data_message| Save the current data before exiting?| ¿Grabar los datos antes de terminar?| Sauver les donées avant quitter?| Save the current data before exiting?
plotter_description |simple interface to Ifeffit |simple interface to Ifeffit |interface simple pour Ifeffit |simple interface to Ifeffit 
plotter_command |Command: |Command: |Command: |Command: 
plotter_zoom |Zoom |Zoom |Zoom |Zoom 
plotter_unzoom |Unzoom |Unzoom |Unzoom |Unzoom 
plotter_read |Read Data |Read Data |Read Data |Read Data 
plotter_previous |Previous |Previous |Previous |Previous 
plotter_next |Next |Next |Next |Next 
plotter_enter |Enter |Enter |Enter |Enter 
clear_powder |Clear Powder |Clear Powder |Clear Powder |Clear Powder 
run_powder |Run Powder |Run Powder |Run Powder |Run Powder 
energy |Energy: |Energía: |Energie: |Energy: 
order |Max Order |Orden Max. |Ordre Max. |Max Order 
twotheta_axis |2theta |2theta |2theta |2theta 
choose_line |Line energies |Energías de lineas |Enegies des lignes |Line energies 
thickness |Thickness |Thickness |Thickness |Thickness 
absen |Energy |Energía |Energie |Energy 
preserve |Preserve |Preservar |Préserver |Preserve 
adb_header |Files in the Atoms\nData Base |Files in the Atoms\nData Base |Files in the Atoms\nData Base |Files in the Atoms\nData Base 
adb_dldir |ADB download directory |ADB download directory |ADB download directory |ADB download directory 
adb_dlnum |Files in database: |Files in database: |Files in database: |Files in database: 
adb_dldirname |Download directory: |Download directory: |Download directory: |Download directory: 
adb_dling |Downloading file |Downloading file |Downloading file |Downloading file 
plotter_cursor |Cursor |Cursor |Cursor |Cursor 
load_adb |Open ADB file |Open ADB file |Open ADB file |Open ADB file 
download_adb |Download ADB files |Download ADB files |Download ADB files |Download ADB files 
plot_menu |Plot |Plot |Plot |Plot 
